ཀུམ | གཟུགས་མི་འགྱུར་བ_ཐ་མི་དད་པ+བྱ་ཚིག_###
དམས | དམའ_འདས་པ།_ཐ་དད་པ
དམིགས | གཟུགས་མི་འགྱུར་བ_ཐ་མི་དད་པ
དམུར | གཟུགས་མི་འགྱུར་བ_ཐ་དད་པ
དམུལ | གཟུགས་མི་འགྱུར་བ_ཐ་མི་དད་པ
དམུས | གཟུགས་མི་འགྱུར་བ_ཐ་མི་དད་པ
དམེ | དམེ_ད་ལྟ་བ།_ཐ་མི་དད་པ+དམེ_མ་འོངས་པ།_ཐ་མི་དད་པ
དམེས | དམེ_འདས་པ།_ཐ་མི་དད་པ+དམེ_སྐུལ་ཚིག_ཐ་མི་དད་པ
དམོད | དམད_སྐུལ་ཚིག_ཐ་དད་པ+དམད_ད་ལྟ་བ།_ཐ་དད་པ+དམོད_ད་ལྟ་བ།_###+གཟུགས་མི་འགྱུར་བ_ཐ་དད་པ+དམོད_སྐུལ་ཚིག_###
དམོན | བྱ་ཚིག_ཐ་དད་པ+རྨོ_འབྲི་ཚུལ
དམོར | དམར_སྐུལ་ཚིག_ཐ་དད་པ
དམྱལ | བྱ་ཚིག_###+གཟུགས་མི་འགྱུར་བ_ཐ་དད་པ
དམྱུག | དམྱུག_ད་ལྟ་བ།_ཐ་མི་དད་པ+དམྱུགས_ད་ལྟ་བ།_ཐ་མི་དད་པ+དམྱུག_མ་འོངས་པ།_###+དམྱུགས_ད་ལྟ་བ།_ཐ་དད་པ+དམྱུག_ད་ལྟ་བ།_###+དམྱུག_མ་འོངས་པ།_ཐ་དད་པ+དམྱུག_མ་འོངས་པ།_ཐ་མི་དད་པ+དམྱུགས_མ་འོངས་པ།_ཐ་མི་དད་པ+དམྱུགས_མ་འོངས་པ།_ཐ་དད་པ+དམྱུག_ད་ལྟ་བ།_ཐ་དད་པ
དམྱུགས | དམྱུགས_སྐུལ་ཚིག_ཐ་མི་དད་པ+དམྱུགས_འདས་པ།_ཐ་མི་དད་པ+དམྱུགས_འདས་པ།_ཐ་དད་པ+དམྱུག_སྐུལ་ཚིག_ཐ་མི་དད་པ+དམྱུག_འདས་པ།_ཐ་དད་པ+དམྱུག_སྐུལ་ཚིག_###+དམྱུག_སྐུལ་ཚིག_ཐ་དད་པ+དམྱུགས_སྐུལ་ཚིག_ཐ་དད་པ+དམྱུག_འདས་པ།_###+དམྱུག_འདས་པ།_ཐ་མི་དད་པ
དར | གཟུགས་མི་འགྱུར་བ_ཐ་མི་དད་པ
དུགས | གདུག_སྐུལ་ཚིག_ཐ་དད་པ
དུང | དུང_ད་ལྟ་བ།_ཐ་མི་དད་པ+བྱ་ཚིག_###+དུང_མ་འོངས་པ།_ཐ་མི་དད་པ
དུངས | དུང_འདས་པ།_ཐ་མི་དད་པ
དུད | གཟུགས་མི་འགྱུར་བ_ཐ་མི་དད་པ
དུབ | གཟུགས་མི་འགྱུར་བ_ཐ་མི་དད་པ
དུམ | དུམ_ད་ལྟ་བ།_ཐ་དད་པ+དུམ_མ་འོངས་པ།_ཐ་དད་པ+དུམ_འདས་པ།_ཐ་དད་པ
དེངས | དེངས_སྐུལ་ཚིག_ཐ་མི་དད་པ+དེངས_འདས་པ།_ཐ་མི་དད་པ+འདོང_སྐུལ་ཚིག_ཐ་མི་དད་པ+གཟུགས་མི་འགྱུར་བ_###+འདོང_འདས་པ།_ཐ་མི་དད་པ
དེད | འདེད_འདས་པ།_###+དེད_སྐུལ་ཚིག_###+འདེད_སྐུལ་ཚིག_###+འདེད_འདས་པ།_ཐ་དད་པ+དེད_འདས་པ།_###+འདེད_སྐུལ་ཚིག_ཐ་དད་པ
དོགས | གཟུགས་མི་འགྱུར་བ_ཐ་མི་དད་པ
དོང | བྱ་ཚིག_ཐ་མི་དད་པ
དོངས | འདོང_སྐུལཚིག_འབྲི་ཚུལ
དོད | གཟུགས་མི་འགྱུར་བ_ཐ་མི་དད་པ+བཏོད_སྐུལཚིག_འབྲི་ཚུལ
དོར | དོར_འདས་པ།_ཐ་དད་པ+དོར_མ་འོངས་པ།_ཐ་དད་པ+འདོར_སྐུལ་ཚིག_ཐ་དད་པ+འདོར_མ་འོངས་པ།_ཐ་དད་པ+དོར_སྐུལ་ཚིག_ཐ་དད་པ+འདོར_འདས་པ།_ཐ་དད་པ
དྭངས | གཟུགས་མི་འགྱུར་བ_ཐ་མི་དད་པ
དྲ | འདྲ_མ་འོངས་པ།_ཐ་དད་པ
དྲག | གཟུགས་མི་འགྱུར་བ_ཐ་མི་དད་པ
དྲང | འདྲེན_མ་འོངས་པ།_ཐ་དད་པ+འདྲེན_མ་འོངས་པ།_###
དྲངས | འདྲེན_འདས་པ།_###+འདྲེན_འདས་པ།_ཐ་དད་པ
དྲན | དྲན_འདས་པ།_###+དྲན_ད་ལྟ་བ།_###+དྲན_མ་འོངས་པ།_ཐ་དད་པ+དྲན_མ་འོངས་པ།_###+དྲན_ད་ལྟ་བ།_ཐ་དད་པ+དྲན_འདས་པ།_ཐ་དད་པ
དྲལ | དྲལ_མ་འོངས་པ།_ཐ་མི་དད་པ+འདྲལ_འདས་པ།_ཐ་མི་དད་པ+དྲལ_འདས་པ།_ཐ་མི་དད་པ+འདྲལ_མ་འོངས་པ།_ཐ་མི་དད་པ
དྲས | འདྲ_འདས་པ།_ཐ་དད་པ
དྲི | འདྲི_མ་འོངས་པ།_ཐ་དད་པ+དྲིས_མ་འོངས་པ།_ཐ་དད་པ
དྲིལ | དྲིལ_སྐུལ་ཚིག_ཐ་དད་པ+འདྲིལ_མ་འོངས་པ།_ཐ་དད་པ+འདྲིལ_འདས་པ།_ཐ་དད་པ+འདྲིལ_སྐུལ་ཚིག_ཐ་དད་པ+འདྲིལ_སྐུལ་ཚིག_###+འདྲིལ_མ་འོངས་པ།_###+འདྲིལ_འདས་པ།_###+དྲིལ_འདས་པ།_ཐ་དད་པ+དྲིལ_མ་འོངས་པ།_ཐ་དད་པ
དྲིས | འདྲི_སྐུལ་ཚིག_ཐ་དད་པ+དྲིས_འདས་པ།_ཐ་དད་པ+འདྲི_འདས་པ།_ཐ་དད་པ+དྲིས_སྐུལ་ཚིག_ཐ་དད་པ
དྲུད | འདྲུད_འདས་པ།_ཐ་དད་པ+འདྲུད_འདས་པ།_ཐ་མི་དད་པ+དྲུད_སྐུལ་ཚིག_ཐ་མི་དད་པ+དྲུད_འདས་པ།_ཐ་མི་དད་པ+འདྲུད_སྐུལ་ཚིག_ཐ་དད་པ+འདྲུད_སྐུལ་ཚིག_ཐ་མི་དད་པ
དྲུབ | དྲུབས_མ་འོངས་པ།_ཐ་དད་པ
དྲུབས | དྲུབས_སྐུལ་ཚིག_ཐ་དད་པ+དྲུབས_སྐུལ་ཚིག_ཐ་མི་དད་པ+འདྲུབ_འདས་པ།_ཐ་མི་དད་པ+དྲུབས_འདས་པ།_ཐ་མི་དད་པ+འདྲུབ_འདས་པ།_ཐ་དད་པ+དྲུབས_འདས་པ།_ཐ་དད་པ+འདྲུབ_སྐུལ་ཚིག_ཐ་དད་པ
དྲུམས | གྲུམས_འབྲི་ཚུལ+བྱ་ཚིག_###
དྲུལ | དྲུལ_སྐུལ་ཚིག_ཐ་དད་པ+འདྲུལ_འདས་པ།_ཐ་དད་པ+འདྲུལ_སྐུལ་ཚིག_ཐ་དད་པ+འདྲུལ_འདས་པ།_ཐ་མི་དད་པ+དྲུལ_འདས་པ།_ཐ་དད་པ
དྲུས | འདྲུ_སྐུལ་ཚིག_ཐ་དད་པ+དྲུས_སྐུལ་ཚིག_ཐ་དད་པ+འདྲུ_འདས་པ།_ཐ་དད་པ+དྲུས_འདས་པ།_ཐ་དད་པ
དྲེད | གཟུགས་མི་འགྱུར་བ_ཐ་མི་དད་པ
དྲོ | དྲོ_ད་ལྟ་བ།_ཐ་མི་དད་པ+དྲོ_མ་འོངས་པ།_ཐ་མི་དད་པ
དྲོངས | འདྲེན_སྐུལ་ཚིག_###+འདྲེན_སྐུལ་ཚིག_ཐ་དད་པ
དྲོན | དྲན_སྐུལ་ཚིག_###+དྲན_སྐུལ་ཚིག_ཐ་དད་པ
དྲོལ | དྲལ_སྐུལ་ཚིག_ཐ་མི་དད་པ
དྲོས | དྲོ_འདས་པ།_ཐ་མི་དད་པ+འདྲ_སྐུལ་ཚིག_ཐ་དད་པ
ན | གཟུགས་མི་འགྱུར་བ_ཐ་མི་དད་པ
ནབ | ནབ_ད་ལྟ་བ།_ཐ་དད་པ
ནུ | ནུས_ད་ལྟ་བ།_ཐ་དད་པ+ནུས_མ་འོངས་པ།_ཐ་དད་པ
ནུད | བྱ་ཚིག_###+གཟུགས་མི་འགྱུར་བ_ཐ་དད་པ
ནུབ | བྱ་ཚིག_###+གཟུགས་མི་འགྱུར་བ_ཐ་མི་དད་པ
ནུར | གཟུགས་མི་འགྱུར་བ_ཐ་མི་དད་པ+བྱ་ཚིག_###
ནུས | ནུས_འདས་པ།_ཐ་དད་པ+ནུས_སྐུལ་ཚིག_ཐ་དད་པ
ནོགས | བྱ་ཚིག_###+གཟུགས་མི་འགྱུར་བ_ཐ་དད་པ
ནོངས | གཟུགས་མི་འགྱུར་བ_ཐ་མི་དད་པ+བྱ་ཚིག_###
ནོད | ནོད_ད་ལྟ་བ།_ཐ་དད་པ
ནོན | མནན_སྐུལ་ཚིག_ཐ་དད་པ+གནོན_སྐུལ་ཚིག_ཐ་དད་པ
ནོབས | ནབ_སྐུལ་ཚིག_ཐ་དད་པ
ནོམ | ནོམ_ད་ལྟ་བ།_###+ནོམ_ད་ལྟ་བ།_ཐ་མི་དད་པ+ནོམ_ད་ལྟ་བ།_ཐ་དད་པ
ནོམས | ནོམ_སྐུལ་ཚིག_###+ནོམ_སྐུལ་ཚིག_ཐ་དད་པ+ནོམ_སྐུལ་ཚིག_ཐ་མི་དད་པ
ནོར | གཟུགས་མི་འགྱུར་བ_ཐ་མི་དད་པ
ནོལ | གཟུགས་མི་འགྱུར་བ_ཐ་མི་དད་པ+མནོལ_འབྲི་ཚུལ+བྱ་ཚིག_###
ནོས | མནོས_འབྲི་ཚུལ+བྱ་ཚིག_###+གནོས_འབྲི་ཚུལ+བྱ་ཚིག_ཐ་དད་པ
ཕངས | བྱ་ཚིག_###+བྱ་ཚིག_ཐ་མི་དད་པ
ཕན | གཟུགས་མི་འགྱུར་བ_ཐ་དད་པ
ཕབ | འབེབས_འདས་པ།_ཐ་དད་པ+འབེབས_འདས་པ།_###
ཕམ | འཕམ_འདས་པ།_ཐ་མི་དད་པ
ཕིག | འབིག_འདས་པ།_འབྲི་ཚུལ
ཕིགས | འབིག_སྐུལ་ཚིག_ཐ་དད་པ
ཕུག | འབིག_འདས་པ།_ཐ་དད་པ+ཕིག_འབྲི་ཚུལ+བྱ་ཚིག_ཐ་དད་པ
ཕུགས | འབིག_སྐུལཚིག_འབྲི་ཚུལ
ཕུང | འཕུང_འདས་པ།_ཐ་དད་པ+ཕུང_འདས་པ།_ཐ་དད་པ
ཕུད | འཕུད_སྐུལ་ཚིག_ཐ་དད་པ+ཕུད_འདས་པ།_ཐ་དད་པ+འཕུད_སྐུལ་ཚིག_###+འཕུད_འདས་པ།_###+འཕུད_འདས་པ།_ཐ་དད་པ+ཕུད_སྐུལ་ཚིག_ཐ་དད་པ
ཕུབ | འབུབས_འདས་པ།_ཐ་དད་པ+འབུབས_འདས་པ།_###+ཕུབ_འདས་པ།_ཐ་དད་པ
ཕུབས | ཕུབ_སྐུལ་ཚིག_ཐ་དད་པ+འབུབས_སྐུལ་ཚིག_ཐ་དད་པ+འབུབས_སྐུལ་ཚིག_###
ཕུར | ཕུར_འདས་པ།_ཐ་མི་དད་པ+འཕུར_སྐུལ་ཚིག_ཐ་མི་དད་པ+འཕུར_འདས་པ།_ཐ་མི་དད་པ+ཕུར_སྐུལ་ཚིག_ཐ་མི་དད་པ+འཕུར_སྐུལ་ཚིག_###+འཕུར_འདས་པ།_###
ཕུལ | ཕུལ_འདས་པ།_ཐ་དད་པ+འབུལ_འདས་པ།_ཐ་དད་པ+ཕུལ_སྐུལ་ཚིག_ཐ་དད་པ
ཕེབས | གཟུགས་མི་འགྱུར་བ_ཐ་མི་དད་པ
ཕོ | འབོ_འདས་པ།_ཐ་དད་པ
ཕོག | འཕོག_འདས་པ།_###+འཕོག_འདས་པ།_ཐ་མི་དད་པ+འབོགས_འདས་པ།_###+འབོགས_འདས་པ།_ཐ་དད་པ
ཕོགས | འབོགས_སྐུལ་ཚིག_###+འབོགས_སྐུལ་ཚིག_ཐ་དད་པ
ཕོངས | འཕོངས_འདས་པ།_ཐ་མི་དད་པ
ཕོབ | འབེབས_སྐུལ་ཚིག_ཐ་དད་པ+འབེབས_སྐུལ་ཚིག_###
ཕོས | འབོ_སྐུལ་ཚིག_ཐ་དད་པ
ཕྱག | འཕྱག_མ་འོངས་པ།_ཐ་དད་པ
ཕྱགས | འཕྱག_འདས་པ།_ཐ་དད་པ
ཕྱར | ཕྱར_འདས་པ།_ཐ་དད་པ+འཕྱར_འདས་པ།_###+ཕྱར_མ་འོངས་པ།_ཐ་དད་པ+འཕྱར_འདས་པ།_ཐ་དད་པ+འཕྱར_མ་འོངས་པ།_ཐ་དད་པ
ཕྱི | འབྱིད_འདས་པ།_ཐ་དད་པ+འབྱིད_འདས་པ།_###
ཕྱིད | འཕྱིད_འདས་པ།_ཐ་མི་དད་པ+འཕྱིད_འདས་པ།_###
ཕྱིན | གཟུགས་མི་འགྱུར་བ_ཐ་མི་དད་པ
ཕྱིས | གཟུགས་མི་འགྱུར་བ_ཐ་མི་དད་པ+འབྱིད_སྐུལ་ཚིག_###+འབྱིད_སྐུལ་ཚིག_ཐ་དད་པ
ཕྱུག | གཟུགས་མི་འགྱུར་བ_ཐ་མི་དད་པ
ཕྱུང | འབྱིན_འདས་པ།_ཐ་དད་པ+འབྱིན_འདས་པ།_###
ཕྱུངས | འབྱིན_སྐུལ་ཚིག_###+འབྱིན_སྐུལ་ཚིག_ཐ་དད་པ
ཕྱེ | འབྱེད_འདས་པ།_ཐ་དད་པ+འབྱེད_འདས་པ།_###
ཕྱེད | གཟུགས་མི་འགྱུར་བ_ཐ་མི་དད་པ+བྱ་ཚིག_###
ཕྱེས | འབྱེད_སྐུལ་ཚིག_###+འབྱེད_སྐུལ་ཚིག_ཐ་དད་པ
ཕྱོགས | གཟུགས་མི་འགྱུར་བ_ཐ་མི་དད་པ+འཕྱག_སྐུལ་ཚིག_ཐ་དད་པ
ཕྱོར | ཕྱར_སྐུལ་ཚིག_ཐ་དད་པ+འཕྱར_སྐུལ་ཚིག_ཐ་དད་པ+འཕྱར_སྐུལ་ཚིག_###
ཕྲད | འཕྲད_འདས་པ།_འབྲི་ཚུལ+འཕྲད_འདས་པ།_ཐ་མི་དད་པ
ཕྲལ | འཕྲལ_འདས་པ།_ཐ་དད་པ+ཕྲལ_མ་འོངས་པ།_ཐ་དད་པ+འབྲལ_འདས་པ།_ཐ་དད་པ+ཕྲལ_འདས་པ།_ཐ་དད་པ+འཕྲལ_མ་འོངས་པ།_ཐ་དད་པ
ཕྲས | བྱ་ཚིག_ཐ་མི་དད་པ+འཕྲ_འདསཔ_འབྲི་ཚུལ
ཕྲི | བྱ་ཚིག_###+འཕྲི_འདས་པ།_ཐ་དད་པ
ཕྲིས | འཕྲི_སྐུལ་ཚིག_ཐ་དད་པ+འབྲིད_སྐུལཚིག_འབྲི་ཚུལ
ཕྲུགས | འཕྲུག_སྐུལཚིག_འབྲི་ཚུལ
ཕྲུལ | འབྲུལ_འདས་པ།_འབྲི་ཚུལ
ཕྲོག | དབྲོག_འདས་པ།_ཐ་དད་པ
ཕྲོགས | ཕྲོགས_སྐུལ་ཚིག_ཐ་དད་པ+འཕྲོག_འདས་པ།_ཐ་དད་པ+ཕྲོགས_འདས་པ།_ཐ་དད་པ+འཕྲོག_སྐུལ་ཚིག_ཐ་དད་པ+དབྲོག_སྐུལ་ཚིག_ཐ་དད་པ
ཕྲོད | འབྲད_སྐུལ་ཚིག_ཐ་དད་པ+འབྲད_སྐུལ་ཚིག_###
ཕྲོབས | འབྲབ_སྐུལཚིག_འབྲི་ཚུལ
ཕྲོལ | ཕྲལ_སྐུལ་ཚིག_ཐ་དད་པ+འབྲལ_སྐུལ་ཚིག_ཐ་དད་པ+འཕྲལ_སྐུལ་ཚིག_ཐ་དད་པ
ཕྲོས | འབྲོས_སྐུལ་ཚིག_འབྲི་ཚུལ
བཀག | འགོག_འདས་པ།_ཐ་དད་པ+འགོག_འདས་པ།_###
བཀང | འགེངས_འདས་པ།_ཐ་དད་པ
བཀད | འགད_འདས་པ།_###+འགད_འདས་པ།_ཐ་དད་པ
བཀན | བཀན_འདས་པ།_ཐ་མི་དད་པ+བཀན_ད་ལྟ་བ།_ཐ་མི་དད་པ+བཀན_མ་འོངས་པ།_ཐ་མི་དད་པ
བཀབ | འགེབ_འདས་པ།_ཐ་དད་པ+འགེབ_འདས་པ།_###
བཀར | དགར_འདས་པ།_###+འགེར_འདས་པ།_ཐ་དད་པ+འགེར_འདས་པ།_###
བཀལ | འཁེལ_མའོངསཔ_འབྲི་ཚུལ+འཁེལ_འདས་པ།_ཐ་དད་པ+འཁེལ_མ་འོངས་པ།_ཐ་དད་པ+འཁེལ_འདསཔ_འབྲི་ཚུལ+བྱ་ཚིག_ཐ་མི་དད་པ+འགེལ_འདས་པ།_###
བཀས | འགས_འདས་པ།_ཐ་དད་པ
བཀུ | བཀུ_མ་འོངས་པ།_ཐ་དད་པ+བཀུ_ད་ལྟ་བ།_ཐ་དད་པ+བཀུས_ད་ལྟ་བ།_ཐ་དད་པ+བཀུས_མ་འོངས་པ།_ཐ་དད་པ
བཀུག | འགུགས_འདས་པ།_ཐ་དད་པ+འགུགས_འདས་པ།_###
བཀུམ | འགུམ_འདས་པ།_ཐ་དད་པ
བཀུར | བྱ་ཚིག_ཐ་དད་པ
བཀུས | བཀུ_འདས་པ།_ཐ་དད་པ+བཀུ_སྐུལ་ཚིག_ཐ་དད་པ+བཀུས_འདས་པ།_ཐ་དད་པ+བཀུས_སྐུལ་ཚིག_ཐ་དད་པ
བཀོག | འགོག_འདས་པ།_འབྲི་ཚུལ
བཀོང | བཀོངས_མ་འོངས་པ།_ཐ་དད་པ+བཀོང_མ་འོངས་པ།_ཐ་མི་དད་པ+བཀོང_ད་ལྟ་བ།_ཐ་མི་དད་པ+བཀོང_ད་ལྟ་བ།_ཐ་དད་པ+བཀོངས_མ་འོངས་པ།_ཐ་མི་དད་པ+བཀོངས_ད་ལྟ་བ།_ཐ་དད་པ+བཀོང_མ་འོངས་པ།_ཐ་དད་པ+བཀོངས_ད་ལྟ་བ།_ཐ་མི་དད་པ
བཀོངས | བཀོང_འདས་པ།_ཐ་མི་དད་པ+བཀོང_སྐུལ་ཚིག_ཐ་མི་དད་པ+བཀོང_འདས་པ།_ཐ་དད་པ+བཀོང_སྐུལ་ཚིག_ཐ་དད་པ+བཀོངས_སྐུལ་ཚིག_ཐ་མི་དད་པ+བཀོངས_འདས་པ།_ཐ་དད་པ+བཀོངས_འདས་པ།_ཐ་མི་དད་པ+བཀོངས_སྐུལ་ཚིག_ཐ་དད་པ
བཀོད | འགོད_འདས་པ།_ཐ་དད་པ
བཀོན | འཁོན_མ་འོངས་པ།_ཐ་དད་པ+འཁོན_འདས་པ།_ཐ་མི་དད་པ+གཟུགས་མི་འགྱུར་བ_ཐ་དད་པ+བཀོན_མ་འོངས་པ།_ཐ་མི་དད་པ+བཀོན_འདས་པ།_ཐ་མི་དད་པ+འཁོན_འདས་པ།_ཐ་དད་པ+འཁོན_མ་འོངས་པ།_ཐ་མི་དད་པ+བཀན_སྐུལ་ཚིག_ཐ་མི་དད་པ
བཀོལ | འཁོལ_མ་འོངས་པ།_###+འཁོལ_འདས་པ།_###+འཁོལ_འདས་པ།_ཐ་དད་པ
བཀྱག | འགྱོག_མ་འོངས་པ།_ཐ་དད་པ+ཁྱོག_མ་འོངས་པ།_ཐ་དད་པ
བཀྱགས | འགྱོག_འདས་པ།_ཐ་དད་པ+ཁྱོག_འདས་པ།_ཐ་དད་པ
བཀྱལ | འཁྱལ_འདས་པ།_ཐ་མི་དད་པ+འཁྱལ_མ་འོངས་པ།_ཐ་མི་དད་པ+བཀྱལ_མ་འོངས་པ།_ཐ་མི་དད་པ+བཀྱལ_འདས་པ།_ཐ་མི་དད་པ
བཀྱིག | འཁྱིག_མ་འོངས་པ།_ཐ་དད་པ
བཀྱིགས | འཁྱིག_འདས་པ།_ཐ་དད་པ
བཀྱེ | འགྱེད_མ་འོངས་པ།_ཐ་དད་པ+འགྱེད_མ་འོངས་པ།_###
བཀྱེད | འགྱེད_འདས་པ།_###
བཀྱེས | འགྱེད_འདས་པ།_ཐ་དད་པ+འགྱེད_འདས་པ།_###
བཀྱོན | གཟུགས་མི་འགྱུར་བ_ཐ་དད་པ
བཀྲབ | འཁྲབ_འདས་པ།_ཐ་དད་པ
བཀྲབས | བྱ་ཚིག_ཐ་དད་པ
བཀྲམ | ཁྲོམ_འདས་པ།_ཐ་དད་པ+འགྲེམ_འདས་པ།_ཐ་དད་པ
བཀྲལ | འགྲེལ_འདས་པ།_ཐ་དད་པ
བཀྲི | འཁྲིད_མ་འོངས་པ།_###
བཀྲིས | འཁྲིད_འདས་པ།_###
བཀྲུ | འཁྲུད_མ་འོངས་པ།_ཐ་དད་པ
བཀྲུམས | དཀྲུམ_སྐུལཚིག_འབྲི་ཚུལ+དཀྲུམ_འདསཔ_འབྲི་ཚུལ
བཀྲུས | འཁྲུད_འདས་པ།_ཐ་དད་པ
བཀྲེས | གཟུགས་མི་འགྱུར་བ_ཐ་མི་དད་པ
བཀྲོངས | དགྲོང_འདས་པ།_ཐ་དད་པ
བཀྲོབས | འཁྲབ_སྐུལཚིག_འབྲི་ཚུལ
བཀྲོལ | འཁྲོལ_མ་འོངས་པ།_ཐ་དད་པ+འགྲོལ_འདས་པ།_ཐ་དད་པ+འཁྲོལ_འདས་པ།_###+འཁྲོལ_འདས་པ།_ཐ་དད་པ
བཀླག | ཀློག_མ་འོངས་པ།_ཐ་དད་པ
བཀླགས | ཀློག_འདས་པ།_ཐ་དད་པ
བཀླུབ | ཀླུབ_མ་འོངས་པ།_ཐ་དད་པ
བཀླུབས | ཀླུབ_འདས་པ།_ཐ་དད་པ
བགག | བསྒག_འབྲི་ཚུལ+བྱ་ཚིག_ཐ་དད་པ
བགགས | བསྒགས_འབྲི་ཚུལ+བྱ་ཚིག_###+འགེགས_འདསཔ_འབྲི་ཚུལ+བྱ་ཚིག_ཐ་དད་པ
བགད | དགོད_འདས་པ།_ཐ་དད་པ+དགོད_མ་འོངས་པ།_ཐ་དད་པ
བགམ | བགམ_མ་འོངས་པ།_ཐ་དད་པ+བགམ_ད་ལྟ་བ།_ཐ་དད་པ
བགམས | བགམ_འདས་པ།_ཐ་དད་པ
བགོ | བགོས_མ་འོངས་པ།_ཐ་དད་པ+བགོས_ད་ལྟ་བ།_###+བགོ_མ་འོངས་པ།_ཐ་དད་པ+བགོ_ད་ལྟ་བ།_ཐ་དད་པ+བགོད_མ་འོངས་པ།_ཐ་དད་པ+བགོས_མ་འོངས་པ།_###
བགོགས | བསྒགས_སྐུལཚིག_འབྲི་ཚུལ
བགོད | བགོད_ད་ལྟ་བ།_ཐ་དད་པ+བགོད_སྐུལ་ཚིག_ཐ་དད་པ+བགོས_སྐུལ་ཚིག_ཐ་དད་པ+བགོས_ད་ལྟ་བ།_ཐ་དད་པ
བགོམ | འགོམ_མ་འོངས་པ།_ཐ་དད་པ
བགོམས | བགམ_སྐུལ་ཚིག_ཐ་དད་པ+འགོམ_འདས་པ།_ཐ་དད་པ
བགོར | འགོར_མ་འོངས་པ།_ཐ་དད་པ+འགོར_སྐུལ་ཚིག_ཐ་དད་པ+འགོར_འདས་པ།_ཐ་དད་པ+བགོར_མ་འོངས་པ།_ཐ་དད་པ+བགོར_འདས་པ།_ཐ་དད་པ+བགོར_སྐུལ་ཚིག_ཐ་དད་པ
བགོས | བགོ_འདས་པ།_ཐ་དད་པ+བགོས_འདས་པ།_ཐ་དད་པ+བགོས_སྐུལ་ཚིག_###+བགོ_སྐུལ་ཚིག_ཐ་དད་པ+བགོས_འདས་པ།_###+བགོད_འདས་པ།_ཐ་དད་པ
བགྱང | བགྱོངས_མ་འོངས་པ།_ཐ་དད་པ+བགྱང_མ་འོངས་པ།_ཐ་དད་པ+བགྱོངས_ད་ལྟ་བ།_ཐ་དད་པ+བགྱང_ད་ལྟ་བ།_ཐ་དད་པ
བགྱངས | བགྱང_འདས་པ།_ཐ་དད་པ+བགྱོངས_འདས་པ།_ཐ་དད་པ
བགྱི | བགྱིད_མ་འོངས་པ།_ཐ་དད་པ
བགྱིད | བགྱིད_ད་ལྟ་བ།_ཐ་དད་པ
བགྱིས | བགྱིད_འདས་པ།_ཐ་དད་པ
བགྱོངས | བགྱོངས_སྐུལ་ཚིག_ཐ་དད་པ+བགྱང_སྐུལ་ཚིག_ཐ་དད་པ
བགྲང | བགྲང_མ་འོངས་པ།_ཐ་དད་པ+བགྲང_ད་ལྟ་བ།_ཐ་དད་པ
བགྲངས | བགྲང_འདས་པ།_ཐ་དད་པ
བགྲད | བགྲད_ད་ལྟ་བ།_###+བགྲད_འདས་པ།_###+བགྲད_མ་འོངས་པ།_###+བགྲད_འདས་པ།_ཐ་མི་དད་པ+བགྲད_ད་ལྟ་བ།_ཐ་མི་དད་པ+བགྲད_མ་འོངས་པ།_ཐ་མི་དད་པ
བགྲིལ | གཟུགས་མི་འགྱུར་བ_ཐ་དད་པ
བགྲུ | བགྲུས_མ་འོངས་པ།_ཐ་དད་པ+བགྲུད_མ་འོངས་པ།_ཐ་དད་པ
བགྲུང | བགྲུང_མ་འོངས་པ།_ཐ་དད་པ+བགྲུངས_ད་ལྟ་བ།_ཐ་དད་པ+བགྲུངས_མ་འོངས་པ།_ཐ་དད་པ+བགྲུང_ད་ལྟ་བ།_ཐ་དད་པ
བགྲུངས | བགྲུང_སྐུལ་ཚིག_ཐ་དད་པ+བགྲུངས_སྐུལ་ཚིག_ཐ་དད་པ+བགྲུངས_འདས་པ།_ཐ་དད་པ+བགྲུང_འདས་པ།_ཐ་དད་པ
བགྲུད | བགྲུས_ད་ལྟ་བ།_ཐ་དད་པ+བགྲུད_ད་ལྟ་བ།_ཐ་དད་པ
བགྲུས | བགྲུས_འདས་པ།_ཐ་དད་པ+བགྲུད_སྐུལ་ཚིག_ཐ་དད་པ+བགྲུད_འདས་པ།_ཐ་དད་པ+བགྲུས_སྐུལ་ཚིག_ཐ་དད་པ
བགྲེས | གཟུགས་མི་འགྱུར་བ_ཐ་དད་པ
བགྲོ | བགྲོ_མ་འོངས་པ།_ཐ་དད་པ+བགྲོ_ད་ལྟ་བ།_ཐ་དད་པ+བགྲོས_ད་ལྟ་བ།_ཐ་དད་པ+བགྲོས_མ་འོངས་པ།_ཐ་དད་པ
བགྲོང | དགྲོང_མ་འོངས་པ།_ཐ་དད་པ
བགྲོངས | བགྲང_སྐུལ་ཚིག_ཐ་དད་པ
བགྲོད | བགྲད_སྐུལ་ཚིག_ཐ་མི་དད་པ+བྱ་ཚིག_###+གཟུགས་མི་འགྱུར་བ_ཐ་མི་དད་པ+བགྲད_སྐུལ་ཚིག_###
བགྲོས | བགྲོ_སྐུལ་ཚིག_ཐ་དད་པ+བགྲོ_འདས་པ།_ཐ་དད་པ+བགྲོས_འདས་པ།_ཐ་དད་པ+བགྲོས_སྐུལ་ཚིག_ཐ་དད་པ
བང | བང_ད་ལྟ་བ།_འབྲི་ཚུལ+བང_མ་འོངས་པ།_འབྲི་ཚུལ
བངས | བང འདས་པ།_འབྲི་ཚུལ
